dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",340116500050,"Sim Tray - Red, Xiaomi Redmi 8A",Module SD SIM,"Leverbaar, alleen uit voorraad",Original,2,0.79,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",345100001R6R,"Rear Camera Lens, Xiaomi Redmi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,8.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100000K5E,"Front Camera 16M, Xiaomi Redmi Note 9S/Redmi Note 9 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,11.4,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41010000155Y,"Front Camera, Xiaomi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,23.4,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100001A5Y,"Front Camera 20M, Xiaomi Poco X3 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,24.34,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100001R5Y,"Front Camera 20MP, Xiaomi Mi 11 / Mi 11 Lite 5G",Camera,"Leverbaar, alleen uit voorraad",Original,2,18.98,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100001Z5Y,"Front Camera 16M, Xiaomi Mi 11 Lite 4G",Camera,"Leverbaar, alleen uit voorraad",Original,1,14.04,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100002A5Y,"Front Camera 16M, Xiaomi Redmi Note 10 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,20.12,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100002D5Y,"Front Camera 13M, Xiaomi Redmi Note 10/Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,1,18.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100002M9X,"Front Camera 8M, Xiaomi Redmi Note 10 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,13.68,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100003F5E,"Front Camera, Xiaomi 12 / 12X / 12 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,16.67,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100003L7D,"Front Camera 16M, Xiaomi Poco M4 Pro 5G",Camera,"Leverbaar, alleen uit voorraad",Original,4,12.48,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410100003S5M,"Front Camera 13M, Xiaomi Redmi Note 11",Camera,"Leverbaar, alleen uit voorraad",Original,3,9.81,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41010000475Y,"Front Camera 32M, Xiaomi 12 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,2,17.13,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200001H5Y,"Rear Camera 2M, Xiaomi Redmi Note 9 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,10.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200001I5E,"Rear Camera 8M, Xiaomi Redmi Note 9S/Redmi Note 9 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,15.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200001J5E,"Rear Camera 5M, Xiaomi Redmi Note 9S/Redmi Note 9 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,12.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000325Y,"Rear Camera 64M, Xiaomi Redmi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,57.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000345Y,"Rear Camera 5M, Xiaomi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,12.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000355Y,"Rear Camera 2M, Xiaomi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,13.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000365Y,"Rear Camera 8M, Xiaomi Redmi Note 10 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,15.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200003Z5E,"Rear Camera 2M (macro), Xiaomi Poco X3 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,10.98,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000405E,"Rear Camera 2M (depth), Xiaomi Poco X3 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,10.92,1,0
